行政區,路名,巷,弄
三重區,力行路二段,１３６巷,４１弄
三重區,力行路二段,１３６巷,４５弄
三重區,力行路二段,１３６巷,４９弄
三重區,力行路二段,１６２巷,
三重區,下竹圍街,,
三重區,永福街,４６巷,
三重區,永福街,４６巷,１５弄
三重區,永福街,４６巷,２２弄
三重區,永福街,４６巷,３１弄
三重區,永福街,４６巷,４１弄
三重區,永福街,４８巷,
三重區,永福街,５８巷,１弄
三重區,永福街,５８巷,３弄
三重區,永福街,７２巷,
三重區,永福街,７２巷,１３弄
三重區,永福街,９８巷,
三重區,永福街,９８巷,１４弄
三重區,車路頭街,１６６巷,
三重區,三和路四段,２０巷,
三重區,三和路四段,３２巷,
三重區,三和路四段,４４巷,
三重區,永德街,,
三重區,永德街,３９巷,
三重區,自強路三段,３４巷,
三重區,自強路三段,４２巷,
三重區,自強路三段,４３巷,
三重區,自強路三段,６２巷,
三重區,自強路三段,７７巷,
三重區,車路頭街,３７巷,
三重區,車路頭街,４５巷,
三重區,車路頭街,５１巷,
三重區,車路頭街,６７巷,
三重區,後竹圍街,１０５巷,
三重區,後竹圍街,１１７巷,
三重區,後竹圍街,１３１巷,
三重區,後竹圍街,１７５巷,
三重區,後竹圍街,１７５巷,２弄
三重區,後竹圍街,１７５巷,１２弄
三重區,後竹圍街,１７５巷,３２弄
三重區,後竹圍街,２０５巷,
三重區,中央南路,,
三重區,仁慈街,,
三重區,福德南路,８巷,
三重區,福德南路,,
三重區,福德南路,２４巷,
三重區,環河南路,,
三重區,力行路二段,７６巷,１弄
三重區,力行路二段,７６巷,
三重區,力行路二段,１００巷,
三重區,力行路二段,１３０巷,
三重區,力行路二段,１３６巷,３０弄
三重區,力行路二段,１３６巷,３６弄
三重區,下竹圍街,４８巷,
三重區,下竹圍街,８３巷,
三重區,下竹圍街,９３巷,
三重區,永福街,１３８巷,
三重區,永福街,１９７巷,
三重區,永福街,１９７巷,３７弄
三重區,永福街,２１１巷,
三重區,永福街,２１１巷,２弄
三重區,永福街,２１１巷,１６弄
三重區,永福街,２３５巷,
三重區,三民街,１５７巷,
三重區,三民街,１６５巷,
三重區,三民街,１７５巷,
三重區,三民街,２２７巷,
三重區,三民街,２８３巷,
三重區,三民街,２９１巷,
三重區,三民街,３０１巷,
三重區,中正北路,２７６巷,
三重區,中正北路,３１２巷,
三重區,忠孝路三段,７巷,
三重區,忠孝路三段,１５巷,
三重區,忠孝路三段,１５巷,１６弄
三重區,忠孝路三段,４０巷,
三重區,忠孝路三段,４０巷,６弄
三重區,忠孝路三段,４０巷,１６弄
三重區,忠孝路三段,４０巷,２２弄
三重區,重陽路二段,５２巷,７２弄
三重區,重陽路二段,５２巷,７４弄
三重區,重陽路二段,５２巷,８３弄
三重區,重陽路二段,５２巷,８５弄
三重區,重陽路二段,５２巷,８７弄
三重區,三民街,１４６巷,１弄
三重區,三民街,１４６巷,
三重區,三民街,１４６巷,３弄
三重區,三民街,１４６巷,１２弄
三重區,三民街,１９０巷,１弄
三重區,三民街,１９０巷,
三重區,中華路,,
三重區,中華路,１１１巷,
三重區,中華路,１２３巷,
三重區,忠孝路三段,５０巷,
三重區,忠孝路三段,５０巷,４１弄
三重區,忠孝路三段,８４巷,
三重區,忠孝路三段,１２７巷,
三重區,洛陽街,,
三重區,洛陽街,２５巷,１弄
三重區,洛陽街,２５巷,
三重區,洛陽街,２５巷,３弄
三重區,洛陽街,２５巷,４弄
三重區,洛陽街,４５巷,
三重區,洛陽街,４９巷,
三重區,洛陽街,４９巷,９弄
三重區,洛陽街,５５巷,
三重區,洛陽街,５７巷,
三重區,中山路,７７巷,
三重區,中華路,５０巷,１弄
三重區,中華路,５０巷,
三重區,中華路,７５巷,
三重區,中華路,７６巷,
三重區,中華路,９３巷,
三重區,洛陽街,４４巷,
三重區,洛陽街,６２巷,
三重區,貴陽街,,
三重區,貴陽街,４７巷,
三重區,貴陽街,４７巷,２弄
三重區,貴陽街,４７巷,１９弄
三重區,新北大道一段,８６巷,
三重區,新北大道一段,９２巷,
三重區,新北大道一段,１００巷,
三重區,新北大道一段,１００巷,９弄
三重區,新北大道一段,２０６巷,
三重區,過圳街,,
三重區,力行路一段,１６７巷,
三重區,力行路一段,１７９巷,
三重區,力行路一段,１７９巷,１７弄
三重區,三張街,１４９巷,
三重區,三張街,１４９巷,１０弄
三重區,自強路二段,８４巷,
三重區,忠孝路一段,,
三重區,忠孝路二段,３２巷,
三重區,忠孝路二段,３８巷,
三重區,中正南路,２０３巷,１７弄
三重區,中正南路,２５０巷,
三重區,中正南路,２５０巷,２弄
三重區,中正南路,２５２巷,
三重區,中正南路,２５２巷,１２弄
三重區,泉州街,,
三重區,泉州街,６１巷,
三重區,泉州街,６１巷,４弄
三重區,泉州街,６５巷,
三重區,重安街,,
三重區,集美街,２０７巷,
三重區,新興路,,
三重區,新興路,９巷,
三重區,新興路,３１巷,
三重區,三光街,,
三重區,三光街,３０巷,
三重區,三陽路,,
三重區,三陽路,１３巷,
三重區,重陽路一段,,
三重區,重陽路一段,１０４巷,
三重區,重陽路一段,１２０巷,
三重區,重陽路一段,１３０巷,１弄
三重區,重陽路一段,１３０巷,
三重區,新北大道一段,３５巷,
三重區,新北大道一段,５７巷,
三重區,新生街,１巷,
三重區,新生街,,
三重區,興華街,,
三重區,中正南路,１８３巷,
三重區,中正南路,２０１巷,
三重區,中正南路,２０３巷,
三重區,中正南路,２０３巷,５弄
三重區,光明路,３巷,
三重區,光明路,１３巷,
三重區,光明路,３７巷,
三重區,同安街,１１４巷,
三重區,泉州街,３巷,
三重區,泉州街,３巷,２弄
三重區,重安街,１３巷,
三重區,重安街,２９巷,
三重區,重安街,３０巷,１弄
三重區,重安街,４１巷,
三重區,重安街,５３巷,
三重區,重安街,７５巷,
三重區,重安街,７５巷,３弄
三重區,重安街,８７巷,
三重區,重新路四段,,
三重區,集美街,,
三重區,集美街,１１２巷,
三重區,集美街,１１２巷,３１弄
三重區,集美街,１１２巷,４５弄
三重區,集美街,１２６巷,
三重區,集美街,１６６巷,
三重區,集美街,２０７巷,１０弄
三重區,集美街,２４７巷,
三重區,集美街,２４７巷,８弄
三重區,集美街,２４７巷,２５弄
三重區,集美街,２４７巷,３１弄
三重區,中央北路,,
三重區,中央北路,１１巷,
三重區,中央北路,１５巷,
三重區,中央北路,２７巷,
三重區,中央北路,５５巷,
三重區,長元街,,
三重區,信義街,,
三重區,福德北路,２巷,
三重區,福德北路,６巷,
三重區,福德北路,２８巷,
